entrezGeneId,hugoGeneSymbol,rank,pValue,qValue,studyId,numberOfMutations
173,"AFM",60,0.000189,0.057,"gbm_tcga",6
546,"ATRX",38,0.000032,0.0153,"gbm_tcga",15
673,"BRAF",6,1e-15,3.02e-12,"gbm_tcga",6
799,"CALCR",29,0.00000849,0.00531,"gbm_tcga",8
1007,"CDH9",69,0.000291,0.0765,"gbm_tcga",8
1016,"CDH18",13,1.81e-8,0.0000253,"gbm_tcga",11
1278,"COL1A2",32,0.0000142,0.00803,"gbm_tcga",11
1780,"DYNC1I1",61,0.000192,0.057,"gbm_tcga",7
1811,"SLC26A3",49,0.0000915,0.0338,"gbm_tcga",7
1956,"EGFR",4,1e-15,3.02e-12,"gbm_tcga",92
2554,"GABRA1",63,0.000203,0.0584,"gbm_tcga",6
2559,"GABRA6",11,1.73e-10,2.86e-7,"gbm_tcga",11
2561,"GABRB2",46,0.0000589,0.0232,"gbm_tcga",6
3417,"IDH1",5,1e-15,3.02e-12,"gbm_tcga",14
3566,"IL4R",53,0.000116,0.0399,"gbm_tcga",8
3792,"KEL",12,1.03e-9,0.00000155,"gbm_tcga",15
4060,"LUM",45,0.0000557,0.0225,"gbm_tcga",5
4763,"NF1",9,6.94e-14,1.4e-10,"gbm_tcga",30
5156,"PDGFRA",21,7.05e-7,0.000608,"gbm_tcga",13
5243,"ABCB1",35,0.0000182,0.00943,"gbm_tcga",10
5288,"PIK3C2G",52,0.000113,0.0394,"gbm_tcga",9
5290,"PIK3CA",8,2e-15,4.53e-12,"gbm_tcga",33
5295,"PIK3R1",1,0,0,"gbm_tcga",33
5653,"KLK6",67,0.000282,0.0764,"gbm_tcga",4
5728,"PTEN",2,5.55e-16,3.02e-12,"gbm_tcga",89
5925,"RB1",7,1.78e-15,4.53e-12,"gbm_tcga",24
6125,"RPL5",15,6.17e-8,0.0000745,"gbm_tcga",7
6335,"SCN9A",54,0.000141,0.0474,"gbm_tcga",11
6406,"SEMG1",20,3.31e-7,0.0003,"gbm_tcga",8
6708,"SPTA1",10,3.79e-13,6.87e-10,"gbm_tcga",26
7039,"TGFA",62,0.000203,0.0584,"gbm_tcga",4
7157,"TP53",3,1e-15,3.02e-12,"gbm_tcga",97
7363,"UGT2B4",56,0.000146,0.0474,"gbm_tcga",5
7472,"WNT2",25,0.0000029,0.0021,"gbm_tcga",5
7652,"ZNF99",47,0.0000635,0.0245,"gbm_tcga",7
8216,"LZTR1",27,0.00000678,0.00455,"gbm_tcga",10
8807,"IL18RAP",31,0.0000115,0.00675,"gbm_tcga",7
9444,"QKI",30,0.0000108,0.00653,"gbm_tcga",5
9723,"SEMA3E",41,0.000038,0.0168,"gbm_tcga",8
10060,"ABCC9",24,0.00000279,0.0021,"gbm_tcga",14
10430,"TMEM147",58,0.000165,0.0517,"gbm_tcga",2
10512,"SEMA3C",14,4.24e-8,0.0000549,"gbm_tcga",11
10735,"STAG2",19,2.79e-7,0.000266,"gbm_tcga",12
11055,"ZPBP",34,0.0000178,0.00943,"gbm_tcga",5
11086,"ADAM29",22,0.00000181,0.00149,"gbm_tcga",9
26047,"CNTNAP2",51,0.00011,0.0392,"gbm_tcga",13
27284,"SULT1B1",26,0.00000302,0.00211,"gbm_tcga",7
27328,"PCDH11X",50,0.000104,0.0378,"gbm_tcga",10
50852,"TRAT1",66,0.000237,0.065,"gbm_tcga",4
54490,"UGT2B28",43,0.0000486,0.0205,"gbm_tcga",6
55503,"TRPV6",71,0.000354,0.0905,"gbm_tcga",7
60482,"SLC5A7",44,0.0000534,0.022,"gbm_tcga",7
79799,"UGT2A3",28,0.00000769,0.00498,"gbm_tcga",6
93492,"TPTE2",16,8.46e-8,0.0000959,"gbm_tcga",8
120065,"OR5P2",48,0.000081,0.0306,"gbm_tcga",4
126206,"NLRP5",23,0.00000251,0.00198,"gbm_tcga",12
139628,"FOXR2",57,0.000155,0.0492,"gbm_tcga",5
145581,"LRFN5",37,0.0000301,0.0147,"gbm_tcga",7
219438,"OR5D18",36,0.0000228,0.0115,"gbm_tcga",6
219473,"OR8K3",18,1.87e-7,0.000188,"gbm_tcga",7
219493,"OR5AR1",17,1.73e-7,0.000185,"gbm_tcga",7
219527,"LRRC55",39,0.0000376,0.0168,"gbm_tcga",6
219875,"OR4D5",68,0.000287,0.0764,"gbm_tcga",4
286464,"CFAP47",64,0.000219,0.0621,"gbm_tcga",8
337976,"KRTAP20-2",70,0.000346,0.0895,"gbm_tcga",3
340578,"DCAF12L2",40,0.0000377,0.0168,"gbm_tcga",8
348980,"HCN1",59,0.000175,0.0539,"gbm_tcga",12
390142,"OR5D13",42,0.000046,0.0199,"gbm_tcga",5
390148,"OR5W2",33,0.0000175,0.00943,"gbm_tcga",5
440533,"PSG8",55,0.000146,0.0474,"gbm_tcga",6
728378,"POTEF",65,0.000223,0.0621,"gbm_tcga",5